SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category
105646,Invesco Mutual Fund,Religare FMP-3M-Sr-VII-Growth,,,Close Ended Schemes,Income
105647,Invesco Mutual Fund,Religare FMP-3M-Sr-VII-Dividend Reinvestment,,,Close Ended Schemes,Income
105648,Aditya Birla Sun Life Mutual Fund,BIRLA FTP-QUARTERLY SERIES 14 - GROWTH,,,Close Ended Schemes,Income
105649,Aditya Birla Sun Life Mutual Fund,BIRLA FTP-QUARTERLY SERIES 14 - DIVIDEND,,,Close Ended Schemes,Income
105650,ICICI Prudential Mutual Fund,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Dividend,,,Open Ended Schemes,Income
105651,ICICI Prudential Mutual Fund,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Growth,,,Open Ended Schemes,Income
105652,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - Quarterly Series 11-Plan A-Dividend,,,Close Ended Schemes,Income
105653,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - Quarterly Series 11-Plan A-Growth,,,Close Ended Schemes,Income
105654,Franklin Templeton Mutual Fund,Templeton Floating Rate Income Fund -  Super Institutional Plan - Growth,,,Open Ended Schemes,Income
105655,Franklin Templeton Mutual Fund,Templeton Floating Rate Income Fund - Super Institutional Plan - Weekly Dividend,,,Open Ended Schemes,Income
105658,UTI Mutual Fund,UTI Ultra Short to Short Term Fund - Regular Plan - Monthly IDCW,INF789F01OU7,INF789F01OV5,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105659,UTI Mutual Fund,UTI Ultra Short to Short Term Fund - Regular Plan - Discontinued Flexi Dividend,INF789F01PA6,,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105660,Nippon India Mutual Fund,NIPPON INDIA ANNUAL INTERVAL FUND - SERIES I - IDCW Option,INF204K01ED4,INF204K01EE2,Interval Fund Schemes,Income
