SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
115762,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 31 - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115763,ICICI Prudential Mutual Fund,ICICI Prudential Interval Fund - Quarterly Interval Plan - I,INF109K01LW0,Open Ended,Income,Income,Other,Other,
115764,Axis Mutual Fund,Axis Fixed Term Plan - Series 15 (370 days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115765,Axis Mutual Fund,Axis Fixed Term Plan - Series 15 (370 days) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115766,Axis Mutual Fund,Axis Fixed Term Plan - Series 15 (370 days) - Quarterly Dividend Option,,Close Ended,Income,Income,Other,IDCW,Quarterly
115767,ICICI Prudential Mutual Fund,ICICI Prudential Capital Protection Oriented Fund - Series V - 60 Months,INF109K01SY1,Close Ended,Income,Income,Other,Other,
115768,ICICI Prudential Mutual Fund,ICICI Prudential Capital Protection Oriented Fund - Series V - 60 Months,INF109K01SX3,Close Ended,Income,Income,Other,Other,
115769,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series IX - Plan A (180 Days) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115770,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series IX - Plan A (180 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115771,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series IX - Plan B (371 Days) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115772,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series IX - Plan B (371 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
